"tag","date","id","species","sample","enc","section","lagSection","moveDir","distMoved","len","wt","river","year","season","seasonStr"
"1bf12f96c3",2003-04-30,1,"bkt",33,1,7,7,0,0,145,36.4,"IL",2003,1,"Spring"
"1bf12f9825",2003-04-16,2,"bkt",33,0,5,5,0,0,137.5,NA,"IL",2003,1,"Spring"
"1bf12f9825",2003-07-02,2,"bkt",34,1,5,5,0,0,144,31.7,"IL",2003,2,"Summer"
"1bf12f9825",2003-09-12,2,"bkt",35,0,5,5,0,0,151,NA,"IL",2003,3,"Autumn"
"1bf12f9825",2003-12-31,2,"bkt",36,1,6,5,1,1,158,35,"IL",2003,4,"Winter"
"1bf12f99a3",2003-04-30,3,"bkt",33,1,6,6,0,0,91,8,"IL",2003,1,"Spring"
"1bf12f99a3",2003-07-02,3,"bkt",34,1,6,6,0,0,113,18.5,"IL",2003,2,"Summer"
"1bf12f99a3",2003-10-14,3,"bkt",35,1,15,6,1,9,127,18.4,"IL",2003,3,"Autumn"
"1bf12f99a3",2003-12-31,3,"bkt",36,1,6,15,-1,-9,130,19.2,"IL",2003,4,"Winter"
"1bf12f99a3",2004-04-22,3,"bkt",37,1,6,6,0,0,131,19.6,"IL",2004,1,"Spring"
"1bf12f9be7",2003-04-30,4,"bkt",33,1,2,2,0,0,100,10.1,"IL",2003,1,"Spring"
"1bf12f9dfa",2003-04-30,5,"bkt",33,1,7,7,0,0,128,24.8,"IL",2003,1,"Spring"
"1bf12f9f08",2003-04-30,6,"bkt",33,1,3,3,0,0,95,9.3,"IL",2003,1,"Spring"
"1bf12f9f08",2003-07-02,6,"bkt",34,1,3,3,0,0,111,14.8,"IL",2003,2,"Summer"
"1bf12f9f4b",2003-04-30,7,"bkt",33,1,6,7,-1,-1,130,22,"IL",2003,1,"Spring"
"1bf12f9f4b",2003-07-02,7,"bkt",34,1,6,6,0,0,159,40.7,"IL",2003,2,"Summer"
"1bf12fa086",2003-04-16,8,"bkt",33,0,4,4,0,0,98,NA,"IL",2003,1,"Spring"
"1bf12fa086",2003-07-03,8,"bkt",34,1,7,4,1,3,105,12.9,"IL",2003,2,"Summer"
"1bf12fa188",2003-04-16,9,"bkt",33,0,9,9,0,0,123.6,NA,"IL",2003,1,"Spring"
"1bf12fa188",2003-06-20,9,"bkt",34,0,9,9,0,0,134.8,NA,"IL",2003,2,"Summer"
"1bf12fa188",2003-10-14,9,"bkt",35,1,15,9,1,6,146,32.8,"IL",2003,3,"Autumn"
"1bf12fa188",2004-01-02,9,"bkt",36,1,11,15,-1,-4,150,30.5,"IL",2003,4,"Winter"
"1bf12fa188",2004-04-22,9,"bkt",37,1,15,11,1,4,151,31.2,"IL",2004,1,"Spring"
"1bf12fa2b5",2003-04-30,10,"bkt",33,1,8,11,-1,-3,127,21.4,"IL",2003,1,"Spring"
"1bf1301428",2003-04-30,11,"bkt",33,1,10,9,1,1,119,18.7,"IL",2003,1,"Spring"
"1bf1301a36",2003-04-30,12,"bkt",33,1,5,5,0,0,150,38.1,"IL",2003,1,"Spring"
"1bf1301a36",2003-07-02,12,"bkt",34,1,4,5,-1,-1,175,59,"IL",2003,2,"Summer"
"1bf1301c66",2003-04-30,13,"bkt",33,1,5,5,0,0,100,11.4,"IL",2003,1,"Spring"
"1bf1301c66",2003-07-02,13,"bkt",34,1,5,5,0,0,118,18.1,"IL",2003,2,"Summer"
"1bf1301c66",2003-10-14,13,"bkt",35,1,10,5,1,5,133,29.5,"IL",2003,3,"Autumn"
"1bf1301d80",2003-04-30,14,"bkt",33,1,10,8,1,2,104,13.1,"IL",2003,1,"Spring"
"1bf1301e01",2003-05-01,15,"bkt",33,1,15,7,1,8,101,10.9,"IL",2003,1,"Spring"
"1bf1301e01",2003-07-03,15,"bkt",34,1,7,15,-1,-8,117,16.7,"IL",2003,2,"Summer"
"1bf1301e01",2003-10-13,15,"bkt",35,1,7,7,0,0,121,18.6,"IL",2003,3,"Autumn"
"1bf1301e01",2003-12-12,15,"bkt",36,0,7,7,0,0,123.5,NA,"IL",2003,4,"Winter"
"1bf1301e01",2004-04-22,15,"bkt",37,1,15,7,1,8,126,20,"IL",2004,1,"Spring"
"1bf1301e01",2004-06-30,15,"bkt",38,1,7,15,-1,-8,135,26.6,"IL",2004,2,"Summer"
"1bf1301e01",2004-10-13,15,"bkt",39,1,7,7,0,0,141,31.4,"IL",2004,3,"Autumn"
"1bf1301e01",2005-01-04,15,"bkt",40,1,7,7,0,0,150,29.6,"IL",2004,4,"Winter"
"1bf1301e9d",2003-04-30,16,"bkt",33,1,6,5,1,1,91,8,"IL",2003,1,"Spring"
"1bf1301e9d",2003-07-02,16,"bkt",34,1,6,6,0,0,119,17.5,"IL",2003,2,"Summer"
"1bf13020f5",2003-04-16,17,"bkt",33,0,2,2,0,0,98.6666666666667,NA,"IL",2003,1,"Spring"
"1bf13020f5",2003-07-02,17,"bkt",34,1,2,2,0,0,109,13.2,"IL",2003,2,"Summer"
"1bf13020f5",2003-09-12,17,"bkt",35,0,2,2,0,0,119.5,NA,"IL",2003,3,"Autumn"
"1bf13020f5",2003-12-31,17,"bkt",36,1,2,2,0,0,130,20.1,"IL",2003,4,"Winter"
"1bf13022f2",2003-04-30,18,"bkt",33,1,7,8,-1,-1,91,8,"IL",2003,1,"Spring"
"1bf13022f2",2003-07-03,18,"bkt",34,1,8,7,1,1,110,13.9,"IL",2003,2,"Summer"
"1bf13022f2",2003-10-13,18,"bkt",35,1,8,8,0,0,124,20.8,"IL",2003,3,"Autumn"
"1bf130235c",2003-04-30,19,"bkt",33,1,1,1,0,0,96,10.6,"IL",2003,1,"Spring"
"1bf1302863",2003-04-30,20,"bkt",33,1,8,8,0,0,121,18.9,"IL",2003,1,"Spring"
"1bf1302863",2003-07-03,20,"bkt",34,1,8,8,0,0,138,28.4,"IL",2003,2,"Summer"
"1bf130286f",2003-04-16,21,"bkt",33,0,3,3,0,0,103.5,NA,"IL",2003,1,"Spring"
"1bf130286f",2003-07-02,21,"bkt",34,1,3,3,0,0,113,15,"IL",2003,2,"Summer"
"1bf130286f",2003-09-12,21,"bkt",35,0,3,3,0,0,123.5,NA,"IL",2003,3,"Autumn"
"1bf130286f",2003-12-31,21,"bkt",36,1,3,3,0,0,134,23.3,"IL",2003,4,"Winter"
"1bf130286f",2004-04-08,21,"bkt",37,0,3,3,0,0,144.5,NA,"IL",2004,1,"Spring"
"1bf130286f",2004-06-29,21,"bkt",38,1,3,3,0,0,155,37,"IL",2004,2,"Summer"
"1bf13028e2",2003-04-16,22,"bkt",33,0,5,5,0,0,109,NA,"IL",2003,1,"Spring"
"1bf13028e2",2003-06-20,22,"bkt",34,0,5,5,0,0,117.666666666667,NA,"IL",2003,2,"Summer"
"1bf13028e2",2003-09-12,22,"bkt",35,0,5,5,0,0,126.333333333333,NA,"IL",2003,3,"Autumn"
"1bf13028e2",2003-12-31,22,"bkt",36,1,9,5,1,4,135,22.3,"IL",2003,4,"Winter"
"1bf13028e2",2004-04-08,22,"bkt",37,0,9,9,0,0,139.333333333333,NA,"IL",2004,1,"Spring"
"1bf13028e2",2004-06-16,22,"bkt",38,0,9,9,0,0,143.666666666667,NA,"IL",2004,2,"Summer"
"1bf13028e2",2004-10-13,22,"bkt",39,1,9,9,0,0,148,29.4,"IL",2004,3,"Autumn"
"1bf13028e2",2005-01-04,22,"bkt",40,1,8,9,-1,-1,154,30.5,"IL",2004,4,"Winter"
"1bf1302a9b",2003-04-30,23,"bkt",33,1,8,8,0,0,91,7.4,"IL",2003,1,"Spring"
"1bf1302a9b",2003-07-03,23,"bkt",34,1,8,8,0,0,109,14.3,"IL",2003,2,"Summer"
"1bf1302a9b",2003-10-13,23,"bkt",35,1,8,8,0,0,120,19.6,"IL",2003,3,"Autumn"
"1bf1302a9b",2003-12-31,23,"bkt",36,1,8,8,0,0,120,15,"IL",2003,4,"Winter"
"1bf1302e84",2003-04-16,24,"bkt",33,0,5,5,0,0,107.75,NA,"IL",2003,1,"Spring"
"1bf1302e84",2003-07-03,24,"bkt",34,1,10,5,1,5,115,17.6,"IL",2003,2,"Summer"
"1bf1302e84",2003-09-12,24,"bkt",35,0,10,10,0,0,127.5,NA,"IL",2003,3,"Autumn"
"1bf1302e84",2003-12-31,24,"bkt",36,1,10,10,0,0,140,28,"IL",2003,4,"Winter"
"1bf1303214",2003-04-30,25,"bkt",33,1,3,3,0,0,98,11.3,"IL",2003,1,"Spring"
"1bf1303214",2003-07-02,25,"bkt",34,1,3,3,0,0,117,17.4,"IL",2003,2,"Summer"
"1bf1303214",2003-10-13,25,"bkt",35,1,1,3,-1,-2,122,19.6,"IL",2003,3,"Autumn"
"1bf1303a78",2003-04-30,26,"bkt",33,1,7,7,0,0,119,16.5,"IL",2003,1,"Spring"
"1bf1303a78",2003-07-03,26,"bkt",34,1,7,7,0,0,133,23.7,"IL",2003,2,"Summer"
